ID,Utterance,Speaker,Dialogue_ID,Target
TRAIN_0000,also I was the point person on my company’s transition from the KL-5 to GR-6 system.,Chandler,0,neutral
TRAIN_0001,You must’ve had your hands full.,The Interviewer,0,neutral
TRAIN_0002,That I did. That I did.,Chandler,0,neutral
TRAIN_0003,So let’s talk a little bit about your duties.,The Interviewer,0,neutral
TRAIN_0004,My duties?  All right.,Chandler,0,surprise
TRAIN_0005,"Now you’ll be heading a whole division, so you’ll have a lot of duties.",The Interviewer,0,neutral
TRAIN_0006,I see.,Chandler,0,neutral
TRAIN_0007,But there’ll be perhaps 30 people under you so you can dump a certain amount on them.,The Interviewer,0,neutral
TRAIN_0008,Good to know.,Chandler,0,neutral
TRAIN_0009,We can go into detail,The Interviewer,0,neutral
TRAIN_0010,No don’t I beg of you!,Chandler,0,fear
TRAIN_0011,"All right then, we’ll have a definite answer for you on Monday, but I think I can say with some confidence, you’ll fit in well here.",The Interviewer,0,neutral
TRAIN_0012,Really?!,Chandler,0,surprise
TRAIN_0013,Absolutely.  You can relax,The Interviewer,0,neutral
TRAIN_0014,But then who? The waitress I went out with last month?,Joey,1,surprise
TRAIN_0015,You know? Forget it!,Rachel,1,sadness
TRAIN_0016,"No-no-no-no, no! Who, who were you talking about?",Joey,1,surprise
TRAIN_0017,"No, I-I-I-I don't, I actually don't know",Rachel,1,fear
TRAIN_0018,Ok!,Joey,1,neutral
TRAIN_0019,"All right, well...",Joey,1,neutral
TRAIN_0020,"Yeah, sure!",Rachel,1,neutral
TRAIN_0021,"Hey, Mon.",Chandler,2,neutral
TRAIN_0022,Hey-hey-hey. You wanna hear something that sucks.,Monica,2,neutral
TRAIN_0023,Do I ever.,Chandler,2,joy
TRAIN_0024,Chris says they’re closing down the bar.,Monica,2,sadness
TRAIN_0025,No way!,Chandler,2,surprise
TRAIN_0026,"Yeah, apparently they’re turning it into some kinda coffee place.",Monica,2,neutral
TRAIN_0027,Just coffee! Where are we gonna hang out now?,Chandler,2,disgust
TRAIN_0028,Got me.,Monica,2,sadness
TRAIN_0029,Can I get a beer.,Chandler,2,neutral
TRAIN_0030,"Hey, did you pick a roommate?",Monica,2,neutral
TRAIN_0031,You betcha!,Chandler,2,joy
TRAIN_0032,Is it the Italian guy?,Monica,2,neutral
TRAIN_0033,"Um-mm, yeah right!",Chandler,2,joy
TRAIN_0034,"Oh my God, oh my God! Poor Monica!",Phoebe,3,surprise
TRAIN_0035,"What, what, what?!",Chandler,3,surprise
TRAIN_0036,What?!,Phoebe,3,surprise
TRAIN_0037,He was with her when he wrote this poem.,Phoebe,3,neutral
TRAIN_0038,"Look,  'My vessel so empty with nothing inside.",Phoebe,3,neutral
TRAIN_0039,"Now that I've touched you, you seem emptier still.'",Phoebe,3,neutral
TRAIN_0040,"He thinks Monica is empty, she is the empty vase!",Phoebe,3,surprise
TRAIN_0041,"Oh, totally. Oh, God, oh, she seemed so happy too.",Phoebe,3,sadness
TRAIN_0042,Done.,Joey,3,neutral
TRAIN_0043,Hey!,Rachel,4,surprise
TRAIN_0044,Hi!,Ross,4,joy
TRAIN_0045,What are you doing here?,Rachel,4,surprise
TRAIN_0046,"Ah y'know, this building is on my paper route so I...",Ross,4,neutral
TRAIN_0047,Oh.,Rachel,4,neutral
TRAIN_0048,Hi.,Ross,4,neutral
TRAIN_0049,Hi.,Rachel,4,neutral
TRAIN_0050,How’d did it go?,Ross,4,neutral
TRAIN_0051,"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn’t shut up.",Rachel,4,joy
TRAIN_0052,I’m so proud of you.,Ross,4,joy
TRAIN_0053,Me too!,Rachel,4,joy
TRAIN_0054,"Listen, I’m ah, I’m sorry I’ve been so crazy and jealous and, it’s just that I like you a lot, so...",Ross,4,sadness
TRAIN_0055,I know.,Rachel,4,neutral
TRAIN_0056,Yeah.,Ross,4,neutral
TRAIN_0057,Yeah.,Rachel,4,neutral
TRAIN_0058,Ameri-can.,Phoebe,5,neutral
TRAIN_0059,Ameri-ccan.,Joey,5,neutral
TRAIN_0060,Ameri-can. Y'know it’s a,Phoebe,5,neutral
TRAIN_0061,Everybody!!,Sergei,5,surprise
TRAIN_0062,Good job Joe! Well done! Top notch!,Chandler,6,joy
TRAIN_0063,You liked it? You really liked it?,Joey,6,surprise
TRAIN_0064,"Oh-ho-ho, yeah!",Chandler,6,joy
TRAIN_0065,Which part exactly?,Joey,6,neutral
TRAIN_0066,The whole thing! Can we go?,Chandler,6,neutral
TRAIN_0067,"Oh no-no-no, give me some specifics.",Joey,6,anger
TRAIN_0068,"I love the specifics, the specifics were the best part!",Chandler,6,joy
TRAIN_0069,"Hey, what about the scene with the kangaroo? Did-did you like that part?",Joey,6,neutral
TRAIN_0070,I was surprised to see a kangaroo in a World War I epic.,Chandler,6,surprise
TRAIN_0071,You fell asleep!!,Joey,6,anger
TRAIN_0072,There was no kangaroo!,Joey,6,anger
TRAIN_0073,They didn’t take any of my suggestions!,Joey,6,anger
TRAIN_0074,That’s for coming buddy.,Joey,6,neutral
TRAIN_0075,I’ll see you later.,Joey,6,neutral
TRAIN_0076,Don’t go!,Chandler,6,sadness
TRAIN_0077,I’m sorry.,Chandler,6,sadness
TRAIN_0078,I’m so sorry!,Chandler,6,sadness
TRAIN_0079,Look!,Chandler,6,surprise
TRAIN_0080,This guy fell asleep!,Chandler,6,anger
TRAIN_0081,He fell asleep too!,Chandler,6,anger
TRAIN_0082,Be mad at him!,Chandler,6,anger
TRAIN_0083,"Or, call an ambulance.",Chandler,6,anger
TRAIN_0084,"Okay, look, I think we have to tell Rachel she messed up her dessert.",Joey,7,neutral
TRAIN_0085,"What?! What is with everybody? It’s Thanksgiving, not...Truth-Day!",Ross,7,anger
TRAIN_0086,"Yes, and it is my dying wish to have that ring.",Phoebe,8,neutral
TRAIN_0087,"See, if I’m not buried with that ring then my spirit is going to wander the nether world for all eternity",Phoebe,8,neutral
TRAIN_0088,"Okay, that’s enough honey!",Chandler,8,neutral
TRAIN_0089,I don’t know.  Let me see the ring.,Customer,8,neutral
TRAIN_0090,"Great! Okay, here.",Chandler,8,joy
TRAIN_0091,All right.,Customer,8,neutral
TRAIN_0092,Thank you. Thank you. Thank you!  And,Chandler,8,joy
TRAIN_0093,What've you been up to?,Chandler,9,neutral
